h,w,output,type,metric,n_h,n_w,n_output,n_type,count
5231927853050439,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,5231927853050439,0,Underweight,String,1
6811680359,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,6811680359,0,Underweight,String,1
425517416,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,425517416,0,Underweight,String,1
157352888,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,157352888,0,Underweight,String,1
67889423,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,67889423,0,Underweight,String,1
62153266,7127287535392,Normal,String,5.0,62153267,7127287535392,Underweight,String,1
48277067,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,48277067,0,Underweight,String,1
46105152,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,46105152,0,Underweight,String,1
37720597,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,37720597,0,Underweight,String,1
34685363,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,34685363,0,Underweight,String,1
4083137,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4083137,0,Underweight,String,1
1801338,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1801338,0,Underweight,String,1
978956,1768164698,Underweight,String,5.0,978956,1768164699,Normal,String,1
973761,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,973761,0,Underweight,String,1
559652,938067497,Severely obese,String,9.0,559653,938067497,Obese,String,1
249278,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,249278,0,Underweight,String,1
182880,61706762,Normal,String,5.0,182881,61706762,Underweight,String,1
156409,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,156409,0,Underweight,String,1
45400,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,45400,0,Underweight,String,1
23735,1039381,Underweight,String,5.0,23735,1039382,Normal,String,1
17827,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,17827,0,Underweight,String,1
13005,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,13005,0,Underweight,String,1
6335,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,6335,0,Underweight,String,1
3163,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3163,0,Underweight,String,1
3080,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3080,0,Underweight,String,1
2562,12119,Normal,String,5.0,2563,12119,Underweight,String,1
2047,12549,Obese,String,9.0,2047,12550,Severely obese,String,1
1699,5331,Normal,String,5.0,1700,5331,Underweight,String,1
1031,1961,Underweight,String,5.0,1031,1962,Normal,String,1
901,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,901,0,Underweight,String,1
900,1495,Normal,String,5.0,901,1495,Underweight,String,1
815,1991,Severely obese,String,9.0,816,1991,Obese,String,1
504,763,Severely obese,String,9.0,505,763,Obese,String,1
397,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,397,0,Underweight,String,1
391,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,391,0,Underweight,String,1
364,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,364,0,Underweight,String,1
266,211,Obese,String,9.0,266,212,Severely obese,String,1
260,202,Obese,String,9.0,260,203,Severely obese,String,1
248,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,248,0,Underweight,String,1
233,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,233,0,Underweight,String,1
226,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,226,0,Underweight,String,1
219,89,Normal,String,5.0,220,89,Underweight,String,1
210,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,210,0,Underweight,String,1
208,129,Obese,String,9.0,208,130,Severely obese,String,1
128,49,Obese,String,9.0,128,50,Severely obese,String,1
119,26,Underweight,String,5.0,119,27,Normal,String,1
115,39,Obese,String,9.0,115,40,Severely obese,String,1
102,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,102,0,Underweight,String,1
99,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,99,0,Underweight,String,2
91,24,Obese,String,9.0,91,25,Severely obese,String,1
65,13,Severely obese,String,9.0,66,13,Obese,String,1
