h,w,output,type,metric,n_h,n_w,n_output,n_type,count
299820553652365733,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,299820553652365733,0,0.0,String,1
479875266567074,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,479875266567074,0,0.0,String,1
351985854583796,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,351985854583796,0,0.0,String,1
25102097810384,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,25102097810384,0,0.0,String,1
7812746090159,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,7812746090159,0,0.0,String,1
2823300022604,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,2823300022604,0,0.0,String,1
2112491536,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,2112491536,0,0.0,String,1
1591961915,2521671026995960,10.0,String,1.0,1591961916,2521671026995960,9.9,String,1
1056162369,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1056162369,0,0.0,String,1
966415360,929288854803710,10.0,String,1.0,966415361,929288854803710,9.9,String,1
131246072,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,131246072,0,0.0,String,1
97199328,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,97199328,0,0.0,String,1
73813897,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,73813897,0,0.0,String,1
63682818,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,63682818,0,0.0,String,1
26411418,694075185767,10.0,String,1.0,26411419,694075185767,9.9,String,1
21296644,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,21296644,0,0.0,String,1
19621361,384997844810054623,10000001.0,String,1.0,19621362,384997844810054623,9999999.9,String,1
10176299,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,10176299,0,0.0,String,1
7873129,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,7873129,0,0.0,String,1
6658674,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,6658674,0,0.0,String,1
4952878,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,4952878,0,0.0,String,1
2454435,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,2454435,0,0.0,String,1
726763,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,726763,0,0.0,String,1
504809,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,504809,0,0.0,String,1
477050,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,477050,0,0.0,String,1
449249,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,449249,0,0.0,String,1
134073,17975615711,10000.0,String,1.0,134074,17975615711,9999.9,String,1
46251,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,46251,0,0.0,String,1
42439,180106863095,1000000.0,String,1.0,42440,180106863095,999952.8,String,1
42420,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,42420,0,0.0,String,1
30327,919726928995401,9999999999.9,String,1.0,30327,919726928995402,10000000000.0,String,1
26519,703257360999996351,9999999999999.9,String,1.0,26519,703257360999996352,10000000000000.0,String,1
20586,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,20586,0,0.0,String,1
17314,298276,10.0,String,1.0,17315,298276,9.9,String,1
7896,62035,9.9,String,1.0,7896,62036,10.0,String,1
7825,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,7825,0,0.0,String,1
7473,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,7473,0,0.0,String,1
6116,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,6116,0,0.0,String,1
5627,31507,10.0,String,1.0,5628,31507,9.9,String,1
3755,141004,100.0,String,1.0,3756,141004,99.9,String,1
3479,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,3479,0,0.0,String,1
3421,1170716,1000.3,String,1.0,3422,1170716,999.8,String,1
2421,5834,10.0,String,1.0,2422,5834,9.9,String,1
2379,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,2379,0,0.0,String,1
1882,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1882,0,0.0,String,1
1846,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1846,0,0.0,String,1
1791,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,52.0,1791,0,0.0,String,1
