year,month,day,output,type,metric,n_year,n_month,n_day,n_output,n_type,count
7106844690410445033,0,15,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,10.0,7106844690410445033,1,15,220027038381245--54255129628557496--3689348814741910343,Dates.Date,1
6957189885956616606,0,32195703485869,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,11.0,6957189885956616606,1,32195703485869,"ArgumentError(""Day: 32195703485869 out of range (1:31)"")",ArgumentError,1
6653571180410500981,0,8455,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,6653571180410500981,1,8455,"ArgumentError(""Day: 8455 out of range (1:31)"")",ArgumentError,1
5191696039974263744,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,11.0,5191696039974263744,1,1,238793524015455--6028347736506385--3689348814741910339,Dates.Date,1
4898652588794943627,0,16,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,8.0,4898652588794943627,1,16,127067506787371--6028347736506384--22,Dates.Date,1
4845566334337252997,0,112779,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,3.0,4845566334337252997,1,112779,"ArgumentError(""Day: 112779 out of range (1:31)"")",ArgumentError,1
4214547764085499035,0,97889,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,4214547764085499035,1,97889,"ArgumentError(""Day: 97889 out of range (1:31)"")",ArgumentError,1
3424432320158457081,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,3424432320158457081,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
3040213274817754491,0,1128,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,3040213274817754491,1,1128,"ArgumentError(""Day: 1128 out of range (1:31)"")",ArgumentError,1
1845198029382754001,0,44641921,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,1845198029382754001,1,44641921,"ArgumentError(""Day: 44641921 out of range (1:31)"")",ArgumentError,1
1338634585718705527,6,0,"ArgumentError(""Day: 0 out of range (1:30)"")",ArgumentError,12.0,1338634585718705527,6,1,239634547078134--60283477365063879--7378697629483820664,Dates.Date,1
1111172163779978600,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,23.0,1111172163779978600,1,1,51826958250198-11-12,Dates.Date,1
811795225550152937,6,0,"ArgumentError(""Day: 0 out of range (1:30)"")",ArgumentError,7.0,811795225550152937,6,1,172324971735874-42198434155544720-28,Dates.Date,1
676966778824095976,12,63670,"ArgumentError(""Day: 63670 out of range (1:31)"")",ArgumentError,1.0,676966778824095976,13,63670,"ArgumentError(""Month: 13 out of range (1:12)"")",ArgumentError,1
609579246810412283,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,609579246810412283,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,1
555844578701213076,6,0,"ArgumentError(""Day: 0 out of range (1:30)"")",ArgumentError,7.0,555844578701213076,6,1,-220644408206455-6028347736506387-16,Dates.Date,1
477304604498220742,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,7.0,477304604498220742,1,1,27914363432861-30141738682531943-7378697629483820657,Dates.Date,1
476812849748060682,-1,56,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,476812849748060682,0,56,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
476237049325343797,0,14,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,8.0,476237049325343797,1,14,-29531412333422-18085043209519167-7378697629483820651,Dates.Date,1
248600504055469519,0,275205,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,3.0,248600504055469519,1,275205,"ArgumentError(""Day: 275205 out of range (1:31)"")",ArgumentError,1
234565191933462968,0,15834,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,2.0,234565191933462968,1,15834,"ArgumentError(""Day: 15834 out of range (1:31)"")",ArgumentError,1
145980600507886939,0,2,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,8.0,145980600507886939,1,2,19792625396254-54255129628557500--3689348814741910299,Dates.Date,1
145031436219623584,99,-2008658974,"ArgumentError(""Month: 99 out of range (1:12)"")",ArgumentError,1.0,145031436219623584,100,-2008658974,"ArgumentError(""Month: 100 out of range (1:12)"")",ArgumentError,1
142465712700638089,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,8.0,142465712700638089,1,1,40287708034722-12056695473012770--3689348814741910305,Dates.Date,1
138336886695048871,0,2258914,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,4.0,138336886695048871,1,2258914,"ArgumentError(""Day: 2258914 out of range (1:31)"")",ArgumentError,1
137661991992800183,0,55,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,137661991992800183,1,55,"ArgumentError(""Day: 55 out of range (1:31)"")",ArgumentError,1
127420566524910640,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,10.0,127420566524910640,1,1,146782488967204--48226781892051102--7378697629483820672,Dates.Date,1
90203455881768808,-1,10,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,90203455881768808,0,10,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
82419446493504679,0,36,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,82419446493504679,1,36,"ArgumentError(""Day: 36 out of range (1:31)"")",ArgumentError,1
66035503942956421,-1,0,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,66035503942956421,0,0,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
61162308431442502,11,0,"ArgumentError(""Day: 0 out of range (1:30)"")",ArgumentError,8.0,61162308431442502,11,1,50689906247441-6028347736506387-3689348814741910344,Dates.Date,1
50336510359155428,0,-83112639,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,6.0,50336510359155428,1,-83112639,"ArgumentError(""Day: -83112639 out of range (1:31)"")",ArgumentError,1
49312568197935157,0,42446971,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,5.0,49312568197935157,1,42446971,"ArgumentError(""Day: 42446971 out of range (1:31)"")",ArgumentError,1
44934569340799261,4,0,"ArgumentError(""Day: 0 out of range (1:30)"")",ArgumentError,11.0,44934569340799261,4,1,-15298830625206-54255129628557507--3689348814741910320,Dates.Date,1
44088751018476244,-1,-1,"ArgumentError(""Month: -1 out of range (1:12)"")",ArgumentError,1.0,44088751018476244,0,-1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1
42327521689815534,1,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,11.0,42327521689815534,1,1,-97072988832277-24113390946025550--3689348814741910305,Dates.Date,1
34005133299704319,5,0,"ArgumentError(""Day: 0 out of range (1:31)"")",ArgumentError,11.0,34005133299704319,5,1,166468496497137-42198434155544717--7378697629483820634,Dates.Date,1
33765571504937729,0,1,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,9.0,33765571504937729,1,1,-73093298269454-42198434155544725--7378697629483820632,Dates.Date,1
29225175345300306,0,-125846114185,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,10.0,29225175345300306,1,-125846114185,"ArgumentError(""Day: -125846114185 out of range (1:31)"")",ArgumentError,1
24299879682092986,0,1226,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,1.0,24299879682092986,1,1226,"ArgumentError(""Day: 1226 out of range (1:31)"")",ArgumentError,1
21594100466020518,2,0,"ArgumentError(""Day: 0 out of range (1:28)"")",ArgumentError,11.0,21594100466020518,2,1,-123251571858719-18085043209519171-7378697629483820649,Dates.Date,1
18258450344547549,0,7,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,8.0,18258450344547549,1,7,76481196555629--24113390946025547-7378697629483820617,Dates.Date,1
16573134368510526,0,4,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,9.0,16573134368510526,1,4,-93670683815401--42198434155544713-7378697629483820646,Dates.Date,1
14858670662313206,0,-163035,"ArgumentError(""Month: 0 out of range (1:12)"")",ArgumentError,4.0,14858670662313206,1,-163035,"ArgumentError(""Day: -163035 out of range (1:31)"")",ArgumentError,1
11239905528858771,-100,3,"ArgumentError(""Month: -100 out of range (1:12)"")",ArgumentError,1.0,11239905528858771,-99,3,"ArgumentError(""Month: -99 out of range (1:12)"")",ArgumentError,1
