h,w,output,type,metric,n_h,n_w,n_output,n_type,count
3816368155917210013,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3816368155917210013,0,Underweight,String,1
3566321385236474018,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3566321385236474018,0,Underweight,String,1
187677620489,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,187677620489,0,Underweight,String,1
1999426316,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1999426316,0,Underweight,String,1
886582986,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,886582986,0,Underweight,String,1
268094236,132608488249502,Normal,String,5.0,268094237,132608488249502,Underweight,String,1
101160134,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,101160134,0,Underweight,String,1
90974141,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,90974141,0,Underweight,String,1
90710769,24644188862510,Severely obese,String,9.0,90710770,24644188862510,Obese,String,1
29840164,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,29840164,0,Underweight,String,1
6191352,70724089040,Normal,String,5.0,6191353,70724089040,Underweight,String,1
5193610,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,5193610,0,Underweight,String,1
4060315,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4060315,0,Underweight,String,1
4003001,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,4003001,0,Underweight,String,1
3944030,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3944030,0,Underweight,String,1
3906007,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,3906007,0,Underweight,String,1
1539535,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,1539535,0,Underweight,String,1
608542,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,608542,0,Underweight,String,1
501374,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,501374,0,Underweight,String,1
71332,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,71332,0,Underweight,String,1
61765,11425671,Obese,String,9.0,61765,11425672,Severely obese,String,1
31461,1826170,Underweight,String,5.0,31461,1826171,Normal,String,1
24691,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,24691,0,Underweight,String,1
15483,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,15483,0,Underweight,String,1
12432,-1,"DomainError(""Height or Weight cannot be negative."", """")",DomainError,44.0,12432,0,Underweight,String,1
